bc,co,date,location,no2,o3,pm10,pm25,so2
"",0.19,2022-04-29,Reno4,0.0078,0.0443,19.7961,6.1456,0.0
"","",2022-04-29,Lake Ilo,0.0026,0.0263,20.8365,11.9519,2.0E-4
"","",2022-04-29,Globe,"","","","",6.0E-4
"","",2022-04-29,Peckville,"",0.033,"","",""
"",0.1521,2022-04-29,Chico -  East,0.0032,0.0411,10.9828,4.5517,""
"","",2022-04-29,Yuba City,0.002,0.0557,28.7778,4.4444,""
"",0.3814,2022-04-29,Concord,0.003,0.0374,"",6.5679,3.0E-4
"",0.1063,2022-04-29,St. Marks Wildlife R,"",0.0483,"",11.5163,0.001
"","",2022-04-29,Whitestown,"",0.0375,"","",""
"",0.1061,2022-04-29,Cannons Lane,0.0039,0.0438,15.4643,6.4241,0.001
"","",2022-04-29,MANISTEE,"",0.0443,"","",""
"","",2022-04-29,North Valley,"","",46.5146,8.5204,""
"","",2022-04-29,RIT,"","","",5.3515,1.0E-4
"",0.16,2022-04-29,Look Rock - GSMNP,"",0.057,"",12.3846,""
"","",2022-04-29,Herriman #3,0.0014,0.0457,"",6.7402,""
"","",2022-04-29,Paul Spur Chemical L,"","",20.1045,"",""
"","",2022-04-29,Tempe,"",0.0422,33.5577,9.1827,""
"","",2022-04-29,Paradise Theater,"","","",5.3204,""
"","",2022-04-29,Fresno-Foundry Park,0.0157,"","",8.8118,""
"","",2022-04-29,Yellow Brick Buildin,"","","",7.334,""
"","",2022-04-29,White Pine,"",0.0344,"","",""
"","",2022-04-29,Porthill,"","","",6.8709,""
"","",2022-04-29,FIVCO,"",0.038,"",5.3552,""
"","",2022-04-29,BAY CITY,"","","",3.7095,""
"","",2022-04-29,OTISVILLE,"",0.0408,"","",""
"","",2022-04-29,Miller State Park,"",0.0469,6.679,3.2877,8.0E-4
"",0.2268,2022-04-29,Fort Lee Near Road,0.013,"","",2.91,""
"","",2022-04-29,Devils Lake,"",0.036,19.8667,10.1419,""
"",0.1323,2022-04-29,Converse County Long,0.003,0.0338,16.7193,"",""
"","",2022-04-29,Death Valley NP,"",0.0578,"","",""
"","",2022-04-29,Los Gatos,"",0.0338,"","",""
"","",2022-04-29,Hobbs Jefferson,0.0037,0.0413,"",7.768,""
"","",2022-04-29,Babylon,"",0.0418,"","",""
"","",2022-04-29,Union,"",0.0389,20.1803,10.664,""
0.9264,0.5392,2022-04-29,Near Road OKC,0.0105,"",19.696,8.124,""
"","",2022-04-29,Vernal #4,0.0015,0.0511,"",4.8928,""
"","",2022-04-29,SHEBOYGAN,"",0.0438,"","",""
"","",2022-04-29,Thunder Basin,0.0016,0.0322,"","",""
"","",2022-04-29,Roseburg Fire Dept,"","","",4.344,""
"","",2022-04-29,Moncks Corner,"",0.0338,"","",""
"","",2022-04-29,Spokane-Augusta Ave,"","",16.9412,3.6061,""
0.3374,0.3385,2022-04-29,Oakland West,0.0114,0.0233,"",7.6353,0.0
"",0.2427,2022-04-29,Compton,0.0116,0.0354,"",14.388,""
"",0.2013,2022-04-29,Santa Clarita,0.008,0.0418,"",13.2759,""
"",0.3857,2022-04-29,Vallejo,0.008,0.0306,"",6.4941,0.001
